,count,global_frequency,local_frequency,rareness
sentio,2139,0.0005445834064239456,0.0005445834064239453,-15.030978894960272
nauis,2138,0.0005443288092259914,0.0005443288092259915,-15.031914129955101
inuenio,2137,0.0005440742120280372,0.0005440742120280376,-15.032849802486787
placeo,2134,0.0005433104204341748,0.000543310420434175,-15.035659449401686
copia,2132,0.0005428012260382664,0.0005428012260382664,-15.037534742553612
appello,2129,0.0005420374344444039,0.0005420374344444042,-15.040350983338124
legio,2124,0.0005407644484546332,0.0005407644484546332,-15.045053548401425
studium,2123,0.0005405098512566791,0.0005405098512566792,-15.045995389718572
altus,2116,0.0005387276708709999,0.0005387276708709999,-15.052600727168704
trado,2107,0.0005364362960894125,0.0005364362960894126,-15.061125485516705
socius,2099,0.0005343995185057792,0.0005343995185057794,-15.068733673483816
pono,2096,0.0005336357269119168,0.0005336357269119168,-15.071594222243217
reliquus,2094,0.0005331265325160085,0.0005331265325160084,-15.07350353026412
occido,2090,0.0005321081437241918,0.0005321081437241917,-15.07732762320737
pecunia,2087,0.0005313443521303293,0.0005313443521303293,-15.080200498970681
latus,2074,0.0005280345885569252,0.0005280345885569255,-15.092697535546138
paucus,2064,0.0005254886165773837,0.0005254886165773838,-15.102364059922177
dictum,2064,0.0005254886165773837,0.0005254886165773838,-15.102364059922177
sto,2060,0.0005244702277855671,0.0005244702277855671,-15.10624378955783
quasi,2058,0.0005239610333896587,0.0005239610333896586,-15.108186480337094
acies,2045,0.0005206512698162546,0.0005206512698162546,-15.120860176171279
caelum,2042,0.0005198874782223922,0.0005198874782223923,-15.123796315675861
intellego,2040,0.0005193782838264838,0.0005193782838264839,-15.125756139448558
finis,2035,0.000518105297836713,0.0005181052978367131,-15.130664117371692
aio,2018,0.0005137771454714924,0.0005137771454714925,-15.147441911297975
haud,2014,0.0005127587566796757,0.0005127587566796758,-15.151410166568068
quisquis,2009,0.0005114857706899049,0.000511485770689905,-15.156381583495214
amor,2007,0.0005109765762939966,0.0005109765762939967,-15.158373615532406
quoius,1998,0.0005086852015124092,0.0005086852015124092,-15.167362394708086
gratia,1983,0.0005048662435430968,0.0005048662435430969,-15.18243405608549
metus,1982,0.0005046116463451426,0.0005046116463451429,-15.183442883345217
iter,1976,0.0005030840631574177,0.0005030840631574178,-15.189506556509457
redeo,1960,0.0004990105079901512,0.0004990105079901512,-15.205766808675957
timeo,1950,0.0004964645360106096,0.0004964645360106097,-15.215997010009499
cognosco,1947,0.0004957007444167471,0.0004957007444167472,-15.219076302380683
adeo,1940,0.000493918564031068,0.000493918564031068,-15.226279809010336
quoniam,1938,0.0004934093696351597,0.0004934093696351597,-15.22834272822366
siue,1937,0.0004931547724372055,0.0004931547724372055,-15.229374986311091
fugio,1921,0.000489081217269939,0.0004890812172699391,-15.24596398758797
ibi,1898,0.00048322548171699333,0.00048322548171699333,-15.270054354785337
uia,1896,0.000482716287321085,0.0004827162873210851,-15.272162947495149
natus,1894,0.0004822070929251767,0.00048220709292517674,-15.274273765633035
